         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);   Druck;Windmax (m/s)
11.12.2007 00:00:00;    4.60;    4.09;    0.00;    4.88;   0.998;       0;    3.00; 1005.07;    4.19
11.12.2007 00:01:00;    4.61;    4.10;    0.00;    4.87;   0.998;       3;    2.92; 1005.09;    3.83
11.12.2007 00:02:00;    4.59;    4.08;    0.00;    4.86;   0.998;       0;    2.72; 1005.08;    3.83
11.12.2007 00:03:00;    4.63;    4.10;    0.00;    4.87;   0.997;       0;    2.66; 1005.10;    3.29
11.12.2007 00:04:00;    4.64;    4.12;    0.00;    4.88;   0.998;       0;    2.09; 1005.11;    2.78
11.12.2007 00:05:00;    4.59;    4.08;    0.00;    4.86;   0.997;       0;    3.48; 1005.10;    4.83
11.12.2007 00:06:00;    4.62;    4.09;    0.00;    4.85;   0.997;       0;    3.38; 1005.13;    4.10
11.12.2007 00:07:00;    4.62;    4.09;    0.00;    4.86;   0.997;       0;    2.82; 1005.14;    4.10
11.12.2007 00:08:00;    4.62;    4.09;    0.00;    4.86;   0.997;       3;    1.83; 1005.15;    2.41
11.12.2007 00:09:00;    4.63;    4.11;    0.00;    4.87;   0.997;       0;    2.16; 1005.16;    3.12
11.12.2007 00:10:00;    4.61;    4.10;    0.00;    4.87;   0.997;       0;    1.64; 1005.17;    2.62
11.12.2007 00:11:00;    4.60;    4.08;    0.00;    4.86;   0.997;       0;    2.50; 1005.17;    3.02
11.12.2007 00:12:00;    4.63;    4.10;    0.00;    4.87;   0.997;       0;    2.01; 1005.18;    2.67
11.12.2007 00:13:00;    4.62;    4.10;    0.00;    4.87;   0.997;       0;    3.06; 1005.18;    3.61
11.12.2007 00:14:00;    4.61;    4.09;    0.00;    4.86;   0.997;       0;    3.26; 1005.19;    4.23
11.12.2007 00:15:00;    4.62;    4.10;    0.00;    4.87;   0.997;       3;    1.73; 1005.21;    2.32
11.12.2007 00:16:00;    4.61;    4.09;    0.00;    4.87;   0.997;       0;    2.50; 1005.22;    3.52
